合约编码	合约交易代码	合约简称	标的券名称及代码	类型	行权价	合约单位	期权行权日	行权交收日	到期日	新挂	涨停价格	跌停价格	前结算价	调整	停牌
10000191	510050P1512M03300	50ETF沽12月3300	50ETF(510050)	认沽	3.300	10000	20151223	20151224	20151223	否	1.0883	0.5943	0.8413	否	否
10000192	510050P1512M03400	50ETF沽12月3400	50ETF(510050)	认沽	3.400	10000	20151223	20151224	20151223	否	1.1858	0.6918	0.9388	否	否
10000200	510050P1512M03500	50ETF沽12月3500	50ETF(510050)	认沽	3.500	10000	20151223	20151224	20151223	否	1.2819	0.7879	1.0349	否	否
10000228	510050P1512M03600	50ETF沽12月3600	50ETF(510050)	认沽	3.600	10000	20151223	20151224	20151223	否	1.3825	0.8885	1.1355	否	否
10000402	510050P1603M01800	50ETF沽3月1800	50ETF(510050)	认沽	1.800	10000	20160323	20160324	20160323	否	0.1286	0.0001	0.0156	否	否
10000403	510050P1603M01850	50ETF沽3月1850	50ETF(510050)	认沽	1.850	10000	20160323	20160324	20160323	否	0.1426	0.0001	0.0196	否	否
10000404	510050P1603M01900	50ETF沽3月1900	50ETF(510050)	认沽	1.900	10000	20160323	20160324	20160323	否	0.1583	0.0001	0.0253	否	否
10000377	510050P1603M01950	50ETF沽3月1950	50ETF(510050)	认沽	1.950	10000	20160323	20160324	20160323	否	0.1741	0.0001	0.0311	否	否
10000378	510050P1603M02000	50ETF沽3月2000	50ETF(510050)	认沽	2.000	10000	20160323	20160324	20160323	否	0.1911	0.0001	0.0381	否	否
10000379	510050P1603M02050	50ETF沽3月2050	50ETF(510050)	认沽	2.050	10000	20160323	20160324	20160323	否	0.2089	0.0001	0.0459	否	否
10000380	510050P1603M02100	50ETF沽3月2100	50ETF(510050)	认沽	2.100	10000	20160323	20160324	20160323	否	0.2305	0.0001	0.0575	否	否
10000347	510050P1603M02150	50ETF沽3月2150	50ETF(510050)	认沽	2.150	10000	20160323	20160324	20160323	否	0.2532	0.0001	0.0702	否	否
